date,latitude,CUTI
2019-07-01T00:00:00Z,44,0.422
2019-07-01T00:00:00Z,45,0.339
2019-07-02T00:00:00Z,44,0.494
2019-07-02T00:00:00Z,45,0.298
2019-07-03T00:00:00Z,44,0.037
2019-07-03T00:00:00Z,45,0.204
2019-07-04T00:00:00Z,44,0.413
2019-07-04T00:00:00Z,45,0.195
2019-07-05T00:00:00Z,44,0.68
2019-07-05T00:00:00Z,45,0.219
2019-07-06T00:00:00Z,44,0.302
2019-07-06T00:00:00Z,45,0.165
2019-07-07T00:00:00Z,44,0.407
2019-07-07T00:00:00Z,45,0.199
2019-07-08T00:00:00Z,44,0.393
2019-07-08T00:00:00Z,45,0.314
2019-07-09T00:00:00Z,44,-0.146
2019-07-09T00:00:00Z,45,0.092
2019-07-10T00:00:00Z,44,-0.407
2019-07-10T00:00:00Z,45,-0.359
2019-07-11T00:00:00Z,44,-0.498
2019-07-11T00:00:00Z,45,-0.391
2019-07-12T00:00:00Z,44,0.012
2019-07-12T00:00:00Z,45,-0.091
2019-07-13T00:00:00Z,44,0.509
2019-07-13T00:00:00Z,45,0.265
2019-07-14T00:00:00Z,44,0.404
2019-07-14T00:00:00Z,45,0.259
2019-07-15T00:00:00Z,44,-0.054
2019-07-15T00:00:00Z,45,0.032
2019-07-16T00:00:00Z,44,0.24
2019-07-16T00:00:00Z,45,0.02
2019-07-17T00:00:00Z,44,0.045
2019-07-17T00:00:00Z,45,-0.013
2019-07-18T00:00:00Z,44,0.182
2019-07-18T00:00:00Z,45,0.195
2019-07-19T00:00:00Z,44,0.717
2019-07-19T00:00:00Z,45,0.769
2019-07-20T00:00:00Z,44,1.373
2019-07-20T00:00:00Z,45,0.905
2019-07-21T00:00:00Z,44,0.878
2019-07-21T00:00:00Z,45,0.718
2019-07-22T00:00:00Z,44,0.489
2019-07-22T00:00:00Z,45,0.469
2019-07-23T00:00:00Z,44,0.454
2019-07-23T00:00:00Z,45,0.585
2019-07-24T00:00:00Z,44,0.625
2019-07-24T00:00:00Z,45,0.237
2019-07-25T00:00:00Z,44,0.759
2019-07-25T00:00:00Z,45,0.343
2019-07-26T00:00:00Z,44,1.015
2019-07-26T00:00:00Z,45,0.499
2019-07-27T00:00:00Z,44,0.601
2019-07-27T00:00:00Z,45,-0.001
2019-07-28T00:00:00Z,44,0.985
2019-07-28T00:00:00Z,45,0.232
2019-07-29T00:00:00Z,44,1.445
2019-07-29T00:00:00Z,45,0.827
2019-07-30T00:00:00Z,44,0.906
2019-07-30T00:00:00Z,45,0.646
2019-07-31T00:00:00Z,44,0.304
2019-07-31T00:00:00Z,45,0.221
2019-08-01T00:00:00Z,44,-0.188
2019-08-01T00:00:00Z,45,0.174
2019-08-02T00:00:00Z,44,-0.042
2019-08-02T00:00:00Z,45,-0.274
2019-08-03T00:00:00Z,44,0.231
2019-08-03T00:00:00Z,45,0.002
2019-08-04T00:00:00Z,44,1.125
2019-08-04T00:00:00Z,45,0.922
2019-08-05T00:00:00Z,44,0.808
2019-08-05T00:00:00Z,45,0.814
2019-08-06T00:00:00Z,44,0.748
2019-08-06T00:00:00Z,45,0.402
2019-08-07T00:00:00Z,44,0.456
2019-08-07T00:00:00Z,45,0.198
2019-08-08T00:00:00Z,44,0.049
2019-08-08T00:00:00Z,45,0.342
2019-08-09T00:00:00Z,44,0.028
2019-08-09T00:00:00Z,45,0.087
2019-08-10T00:00:00Z,44,0.182
2019-08-10T00:00:00Z,45,0.007
2019-08-11T00:00:00Z,44,-0.041
2019-08-11T00:00:00Z,45,0.066
2019-08-12T00:00:00Z,44,-0.225
2019-08-12T00:00:00Z,45,-0.092
2019-08-13T00:00:00Z,44,0.124
2019-08-13T00:00:00Z,45,-0.076
2019-08-14T00:00:00Z,44,0.524
2019-08-14T00:00:00Z,45,0.512
2019-08-15T00:00:00Z,44,0.838
2019-08-15T00:00:00Z,45,0.772
