"","PoolID","Foundation_spp","Removal_Control","Mytilusdelta","Phyllodelta","SAVav","THav","SAav","Vav","Depthav","loggerdepth"
"1","1","Phyllospadix","Control",0,-13.5178806679001,12.3855386070134,0.927449,3.61,0.291468955411903,0.28,0.15
"2","2","Phyllospadix","Removal",0,51.6372795969773,9.69461597357225,0.940149,2.2355,0.230525964404787,0.28,0.295
"3","3","Phyllospadix","Removal",0,76.1770244821092,8.04186846038864,0.930624,5.731,0.713710769925491,0.28,0.265
"4","4","Phyllospadix","Control",0.244100895036615,-19.1523364758838,12.354352762712,0.940149,1.229,0.0994791085866816,0.185,0.095
"5","5","Phyllospadix","Control",0,-3.2184456355571,17.1521498486448,0.781399,1.533,0.0893765512502866,0.15,0.095
"6","6","Phyllospadix","Removal",0,77.01317715959,23.0152017759035,0.905224,0.683,0.0298760346482921,0.13,0.065
"7","7","Phyllospadix","Removal",0,58.8628762541806,12.925879565053,0.705199,3.0365,0.236988711954102,0.335,0.137
"8","8","Phyllospadix","Control",0.147748394201685,-27.5231837910295,13.8875855199592,0.778224,0.886,0.063797986966607,0.165,0.125
"9","9","Mytilus","Control",-5.19551377138511,0,8.58470852017937,1.114313001,6.453,0.751685393258427,0.34,0.125
"10","10","Mytilus","Removal",78.8442703232125,0,7.94543652080539,1.107963001,2.1235,0.273133178286678,0.215,0.215
"11","11","Mytilus","Removal",98.5347360798875,0,8.95092410420656,1.673113001,1.318,0.147664095464156,0.3,0.225
"12","12","Mytilus","Control",-7.05041204577035,0,11.0096497385084,1.333388001,2.552,0.231796656625131,0.225,0.18
"13","13","Mytilus","Control",-10.4354588519857,0,15.0060311195723,1.177813001,4.16,0.277221869450486,0.225,0.165
"14","14","Mytilus","Control",6.06666084181386,0,13.3846394368781,0.904763001,0.583,0.0435573929913782,0.17,0.17
"15","15","Mytilus","Removal",61.1214953271028,0,14.318711430098,0.879363001,1.287,0.0905529485029559,0.175,0.145
"16","16","Mytilus","Removal",74.7368299302942,0,9.48116591928251,1.771538001,7.21,0.768915584415584,0.295,0.295
"17","17","Mytilus","Removal",49.3224932249322,4.21986608182233,14.0024350199908,1.086199,1.28,0.0911236111247706,0.23,0.123
"18","18","Phyllospadix","Control",-1.19699525599767,11.1774510477565,13.9316890881913,1.615963001,5.038,0.361621621621622,0.405,0.15
"19","19","Mytilus","Control",-6.12619554074146,0,8.37471599402093,1.070324,5.4395,0.649514563106796,0.41,0.205
"20","20","Phyllospadix","Control",-0.52144212112477,-18.5967397899568,13.0574289985052,1.006824,4.6465,0.355851063829787,0.41,0.155
"21","21","Phyllospadix","Removal",-0.315814446987521,100,34.9440267092458,1.108424,2.45725,0.0729805453927733,0.135,0.115
"22","22","Phyllospadix","Removal",0,96.4037698412698,34.5168453150822,1.140174,4.1335,0.12469869539879,0.14,0.075
"23","23","Mytilus","Removal",57.0440251572327,0,24.6707513793361,1.044463001,1.892,0.0764946273527742,0.165,0.16
"24","24","Mytilus","Removal",51.548958364921,0,16.2880956596417,1.412763001,1.141,0.0697213749790302,0.18,0.13
"25","25","Mytilus","Control",16.8812160830833,0,11.7056680162428,1.029049,1.143,0.0976450039770454,0.28,0.21
"26","26","Phyllospadix","Removal",0,58.8528678304239,18.545099321173,0.819038001,1.453,0.0782942639668266,0.145,0.066
"27","27","Phyllospadix","Control",0,-17.9971384892791,7.11615925363847,0.841263001,1.164,0.16357138148712,0.26,0.075
"28","28","Phyllospadix","Removal",-0.38572806171649,72.8128342245989,12.0662876277803,0.765063001,2.3715,0.197318495024349,0.175,0.13
"29","29","Phyllospadix","Control",1.09560723514212,45.533850129199,16.4231715983223,0.838342001,0.75,0.0456671840460228,0.16,0.125
"30","30","Mytilus","Control",-2.76554141580606,0,9.64788649751322,1.209563001,1.585,0.164284685605344,0.135,0.105
"31","31","Mytilus","Control",0.664142214482965,0,18.9208193108213,1.146063001,3.329,0.175943755146801,0.21,0.1
"32","32","Mytilus","Removal",95.2544489541055,0,9.85114295628463,1.120663001,3.7565,0.399907853932835,0.31,0.175
