name,foundation_spp,meanconc_After,meanconc_Before,meanse_After,meanse_Before
bix,Mytilus,0.8707821169375,1.0170026680689654,0.023087975511894062,0.05507387349159399
bix,Phyllospadix,1.040159747125,0.942971767483871,0.048167510860949024,0.0264153764640421
do_mg_l,Mytilus,8.840978161375,7.882258064516129,0.7477438641483357,0.2933201523226538
do_mg_l,Phyllospadix,10.974878771,10.8909375,1.0090204019093467,0.37494202760898954
heterotrophic_bacterioplankton_m_l,Mytilus,480.49625000000003,460.1512903225806,46.04657345987683,26.563760303275565
heterotrophic_bacterioplankton_m_l,Phyllospadix,704.00375,816.580625,80.45640435910515,39.06356458404164
hix,Mytilus,0.76972614825,1.0652971896551724,0.06787821813521569,0.07650353116682307
hix,Phyllospadix,0.953247959625,1.3066596690645162,0.08571322360004828,0.11609641139814125
m_c,Mytilus,1.1044448541875,1.0897855845517241,0.06708333308294812,0.03861512148667371
m_c,Phyllospadix,1.1257953130625,1.1069295846129033,0.03351267547317173,0.019417131193687587
nh4_umol_l,Mytilus,15.06540072857143,18.049929541935484,1.7387868732256542,1.7095235943398928
nh4_umol_l,Phyllospadix,4.8084667875,6.27997265625,0.6375710681880453,0.6498821103468942
nn_umol_l,Mytilus,11.9370993,6.771304619354838,1.7730957918071286,0.9243330875815469
nn_umol_l,Phyllospadix,5.06170685,1.32126428,0.9940403535353709,0.20204699059305484
